image_path,disease,tissue,source,width,height,filename,magnification
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.0.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.10.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.100.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1000.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1001.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1002.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1003.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1004.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1005.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1006.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1007.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1008.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1009.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.101.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1010.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1011.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1012.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1013.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1014.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1015.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1016.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1017.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1018.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1019.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.102.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1020.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1021.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1022.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1023.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1024.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1025.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1026.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1027.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1028.jpg,coccidiosis,viscera,kaggle,512,512,,
