image_path,filename,width,height,source,disease,tissue,magnification
poultry_microscopy\all_images\Figure 2-NC-5.JPG,Figure 2-NC-5.JPG,2048,1536,unknown,healthy,unknown,unknown
poultry_microscopy\all_images\Figure 2-NC-6.JPG,Figure 2-NC-6.JPG,2048,1536,unknown,healthy,unknown,unknown
poultry_microscopy\all_images\Figure 2-NC-7.JPG,Figure 2-NC-7.JPG,2048,1536,unknown,healthy,unknown,unknown
poultry_microscopy\all_images\Figure 5-Hair Follicle-NC.jpg,Figure 5-Hair Follicle-NC.jpg,1716,924,unknown,healthy,hair_follicle,unknown
poultry_microscopy\all_images\Figure 5-Kidney-NC.jpg,Figure 5-Kidney-NC.jpg,1716,916,unknown,healthy,kidney,unknown
poultry_microscopy\all_images\Figure 5-Pancreas-NC.jpg,Figure 5-Pancreas-NC.jpg,1716,924,unknown,healthy,pancreas,unknown
poultry_microscopy\all_images\Figure 5-Spleen-NC.jpg,Figure 5-Spleen-NC.jpg,1716,916,unknown,healthy,spleen,unknown
poultry_microscopy\all_images\Figure 5-Thymus-NC.jpg,Figure 5-Thymus-NC.jpg,1668,922,unknown,healthy,thymus,unknown
poultry_microscopy\all_images\Figure 6-Bursa of Fabricius-NC.jpg,Figure 6-Bursa of Fabricius-NC.jpg,2048,1058,unknown,healthy,bursa,unknown
poultry_microscopy\all_images\Figure 6-Spleen-NC.jpg,Figure 6-Spleen-NC.jpg,1200,600,unknown,healthy,spleen,unknown
poultry_microscopy\all_images\Figure 6-Thymus-NC.jpg,Figure 6-Thymus-NC.jpg,2048,1058,unknown,healthy,thymus,unknown
poultry_microscopy\all_images\Figure 6F.jpeg,Figure 6F.jpeg,2148,1918,unknown,unknown,unknown,unknown
